tip_lable	Group
Aquco	Basal_Eudicots
AUGV	Basal_Eudicots
BEKN	Basal_Eudicots
CCID	Basal_Eudicots
EVOD	Basal_Eudicots
GBVZ	Basal_Eudicots
IRAF	Basal_Eudicots
NMGG	Basal_Eudicots
QTJY	Basal_Eudicots
UDHA	Basal_Eudicots
UPOG	Basal_Eudicots
VGHH	Basal_Eudicots
WFBF	Basal_Eudicots
XHKT	Basal_Eudicots
XMVD	Basal_Eudicots
YHFG	Basal_Eudicots
ZGQD	Basal_Eudicots
IWMW	Basal_Eudicots
FAKD	Basal_Eudicots
GRRW	Basal_Eudicots
RQUG	Basal_Eudicots
VQFW	Basal_Eudicots
SWOH	Basal_Eudicots
AALA	Basal_Eudicots
EHNF	Dilleniales
XMQO	Basal_Eudicots
BSEY	Santalales
QKMG	Santalales
RSPO	Santalales
VGVI	Santalales
XGFU	Santalales
XKPS	Santalales
HAEU	Berberidopsidales
QUTB	Berberidopsidales
Betvu	Caryophyllales
AAXJ	Caryophyllales
AZBL	Caryophyllales
BERS	Caryophyllales
BJKT	Caryophyllales
BKQU	Caryophyllales
BWRK	Caryophyllales
BYNZ	Caryophyllales
CPKP	Caryophyllales
CTYH	Caryophyllales
CUTE	Caryophyllales
CVDF	Caryophyllales
DVXD	Caryophyllales
EDIT	Caryophyllales
FYSJ	Caryophyllales
FZQN	Caryophyllales
GIWN	Caryophyllales
GJNX	Caryophyllales
HDSY	Caryophyllales
JAFJ	Caryophyllales
JGAB	Caryophyllales
JLOV	Caryophyllales
KJAA	Caryophyllales
LKKX	Caryophyllales
OLES	Caryophyllales
OMYK	Caryophyllales
RUUB	Caryophyllales
RXEN	Caryophyllales
SFKQ	Caryophyllales
SHEZ	Caryophyllales
SKNL	Caryophyllales
SMMC	Caryophyllales
TJES	Caryophyllales
VJPU	Caryophyllales
WGET	Caryophyllales
WMLW	Caryophyllales
WOBD	Caryophyllales
WQUF	Caryophyllales
YNFJ	Caryophyllales
AJFN	Apiales
CWYJ	Apiales
EDBB	Apiales
MVSE	Apiales
NTEO	Apiales
OINM	Apiales
SBZH	Apiales
SUVN	Apiales
TQKZ	Apiales
WEQK	Apiales
ASMV	Aquifoliales
QACK	Aquifoliales
AFQQ	Asterales
