tip_lable,taxa
Acorales_Acorus_americanus,Acorales_Acorus_americanus
Acorales_Acorus_calamus,Acorales_Acorus_calamus
Alismatales_Colocasia_esculenta,Alismatales_Colocasia_esculenta
Alismatales_Lemna_minor,Alismatales_Lemna_minor
Alismatales_Spirodela_polyrhiza,Alismatales_Spirodela_polyrhiza
Alismatales_Wolffia_australiana,Alismatales_Wolffia_australiana
Alismatales_Wolffiella_lingulata,Alismatales_Wolffiella_lingulata
Amborellales_Amborella_trichopoda,Amborellales_Amborella_trichopoda
Apiales_Anethum_graveolens,Apiales_Anethum_graveolens
Apiales_Anthriscus_cerefolium,Apiales_Anthriscus_cerefolium
Apiales_Crithmum_maritimum,Apiales_Crithmum_maritimum
Apiales_Daucus_carota,Apiales_Daucus_carota
Apiales_Eleutherococcus_senticosus,Apiales_Eleutherococcus_senticosus
Apiales_Hydrocotyle_sp,Apiales_Hydrocotyle_sp
Apiales_Oxypolis_greenmanii,Apiales_Oxypolis_greenmanii
Apiales_Panax_ginseng,Apiales_Panax_ginseng
Apiales_Petroselinum_crispum,Apiales_Petroselinum_crispum
Aquifoliales_Ilex_cornuta,Aquifoliales_Ilex_cornuta
Arecales_Chamaedorea_seifrizii,Arecales_Chamaedorea_seifrizii
Arecales_Elaeis_oleifera,Arecales_Elaeis_oleifera
Arecales_Phoenix_dactylifera,Arecales_Phoenix_dactylifera
Arecales_Ravenea_hildebrandtii,Arecales_Ravenea_hildebrandtii
Asparagales_Agapanthus_praecox,Asparagales_Agapanthus_praecox
Asparagales_Albuca_kirkii,Asparagales_Albuca_kirkii
Asparagales_Apostasia_wallichii,Asparagales_Apostasia_wallichii
Asparagales_Asparagus_officinalis,Asparagales_Asparagus_officinalis
Asparagales_Chlorophytum_rhizopendulum,Asparagales_Chlorophytum_rhizopendulum
Asparagales_Curculigo_capitulata,Asparagales_Curculigo_capitulata
Asparagales_Hesperaloe_parviflora,Asparagales_Hesperaloe_parviflora
Asparagales_Hosta_ventricosa,Asparagales_Hosta_ventricosa
Asparagales_Iris_virginica,Asparagales_Iris_virginica
Asparagales_Liliales_Agapanthus_africanus_PRFO,Asparagales_Liliales_Agapanthus_africanus_PRFO
Asparagales_Liliales_Agave_tequilana_KXSK,Asparagales_Liliales_Agave_tequilana_KXSK
Asparagales_Liliales_Allium_commutatum_KBXS,Asparagales_Liliales_Allium_commutatum_KBXS
Asparagales_Liliales_Allium_sativum_GJPF,Asparagales_Liliales_Allium_sativum_GJPF
Asparagales_Liliales_Aloe_vera_JVBR,Asparagales_Liliales_Aloe_vera_JVBR
Asparagales_Liliales_Amaryllis_belladonna_LDME,Asparagales_Liliales_Amaryllis_belladonna_LDME
Asparagales_Liliales_Asparagus_densiflorus_FGRF,Asparagales_Liliales_Asparagus_densiflorus_FGRF
Asparagales_Liliales_Borya_sphaerocephala_EMJJ,Asparagales_Liliales_Borya_sphaerocephala_EMJJ
Asparagales_Liliales_Brodiaea_sierrae_IXEM,Asparagales_Liliales_Brodiaea_sierrae_IXEM
Asparagales_Liliales_Chlorogalum_pomeridianum_PLBZ,Asparagales_Liliales_Chlorogalum_pomeridianum_PLBZ
Asparagales_Liliales_Colchicum_autumnale_NHIX,Asparagales_Liliales_Colchicum_autumnale_NHIX
Asparagales_Liliales_Curculigo_sp._YJUG,Asparagales_Liliales_Curculigo_sp._YJUG
Asparagales_Liliales_Cyanastrum_cordifolium_RDYY,Asparagales_Liliales_Cyanastrum_cordifolium_RDYY
Asparagales_Liliales_Cyanella_orchidofromis_KYNE,Asparagales_Liliales_Cyanella_orchidofromis_KYNE
Asparagales_Liliales_Disporopsis_pernyi_UZXL,Asparagales_Liliales_Disporopsis_pernyi_UZXL
Asparagales_Liliales_Drakea_elastica_XZME,Asparagales_Liliales_Drakea_elastica_XZME
Asparagales_Liliales_Drimia_altissima_SVTS,Asparagales_Liliales_Drimia_altissima_SVTS
Asparagales_Liliales_Eriospermum_lancifolia_ONBE,Asparagales_Liliales_Eriospermum_lancifolia_ONBE
Asparagales_Liliales_Gloriosa_superba_GDKK,Asparagales_Liliales_Gloriosa_superba_GDKK
Asparagales_Liliales_Goodyera_pubescens_VTUS,Asparagales_Liliales_Goodyera_pubescens_VTUS
Asparagales_Liliales_Haemaria_discolor_LELS,Asparagales_Liliales_Haemaria_discolor_LELS
Asparagales_Liliales_Hemerocallis_sp.-Stewart_JHUL,Asparagales_Liliales_Hemerocallis_sp.-Stewart_JHUL
